Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
盗品,とうひん,touhin,danh từ,chiến lợi phẩm; nựng; hôi của; cưng,,stolen goods; stolen article; loot,
当方,とうほう,touhou,danh từ,choa; chúng tao; nhà quân; ta,,I; we; our part,
東方,とうほう,touhou,danh từ,hướng nghiệp; định hướng,,eastern direction,
東邦,とうほう,touhou,danh từ,hướng nghiệp; định hướng,,Oriental country; the Orient,
党員,とういん,touin,danh từ,đảng viên,,party member,
冬至,とうじ,touji,danh từ,đông chí,,winter solstice,
投じる,とうじる,toujiru,động từ,ném; hất; phóng; vất,,"to throw; to cast (e.g. vote, light, shadow)",
当事者,とうじしゃ,toujisha,danh từ,đương sự,,person concerned; interested party; related party,
登場人物,とうじょうじんぶつ,toujoujinbutsu,danh từ,tâm địa; kí tự; bản sắc; bản tính,,"character (in a play, novel, film, etc.); dramatis personae",
灯火,とうか,touka,danh từ,đèn; yếng sáng; ánh sáng; quang,,light; lamplight,
等価,とうか,touka,danh từ,cán cân,,equivalence; equal value; parity,
統括,とうかつ,toukatsu,động từ,phiếm chỉ; khống chế; chi phối; điều khiển,,unification; bringing together; generalization,
刀剣,とうけん,touken,danh từ,gươm; kiếm; chuỷ thủ; dao,,sword; dagger; knife,
凍結,とうけつ,touketsu,động từ,băng giá; tàn canh gió lạnh,,freezing (e.g. water),
冬季,とうき,touki,danh từ,đông; mùa đông,,winter season; winter,
冬期,とうき,touki,danh từ,đông; mùa đông,,winter; wintertime; winter term,
投機,とうき,touki,danh từ,viễn chinh; chủ chứa; cờ bạc; đỏ đen,,speculation; venture; stockjobbing,
騰貴,とうき,touki,động từ,dâng; hiện; trỗi; lên,,rise (in price or value); appreciation; advance,
頭骨,とうこつ,toukotsu,danh từ,sọ,,skull,
投稿,とうこう,toukou,động từ,đảm phụ; công lao; đóng góp; cống hiến,,"contribution (to a newspaper, magazine, etc.); submission; post (on a blog, social media, etc.)",
投降,とうこう,toukou,động từ,đầu hàng; chịu thua; chào thua; khuất tất,,surrender,
陶工,とうこう,toukou,danh từ,thợ gốm,,potter; ceramist; ceramicist,
当局,とうきょく,toukyoku,danh từ,giới chức; cơ quan chức năng,,authorities; relevant authorities; authorities concerned,
投球,とうきゅう,toukyuu,động từ,bóng gỗ,,pitching; throwing a ball; bowling (in cricket),
当面,とうめん,toumen,tính từ,khẩn trương; gấp rút; khẩn cấp; khẩn thiết,,current; urgent; pressing,
玉蜀黍,とうもろこし,toumorokoshi,danh từ,sạu; bắp ngô; ngô; bẹ,,corn (Zea mays); maize,
糖尿病,とうにょうびょう,tounyoubyou,danh từ,tiểu đường; đái tháo đường,,diabetes; diabetes mellitus,
豆乳,とうにゅう,tounyuu,danh từ,sữa đậu nành,,soy milk,
当落,とうらく,touraku,danh từ,kết quả; cứu cánh,,result (of an election); success or defeat (in an election),
トゥルー,,touru,tính từ,chân chính; thực; thực thụ; thật,,true,
盗塁,とうるい,tourui,động từ,ăn cắp; ăn quịt; ăn trộm; cắp,,base stealing; steal; stolen base,
登載,とうさい,tousai,động từ,in ấn; chí; ấn loát; ghi hình,,running (an article); carrying; printing,
盗作,とうさく,tousaku,động từ,đạo văn,,plagiarism; plagiarised work,
父さん,とうさん,tousan,danh từ,tía; áng; cha; nghiêm đường,,father; dad; papa,
投射,とうしゃ,tousha,động từ,hình chiếu,,projection (of an image),
闘士,とうし,toushi,danh từ,chiến sĩ; chiến binh; máy bay tiêm kích; nhà vô địch,,fighter (for); militant; champion (of),
闘志,とうし,toushi,danh từ,chiến đấu; trận; cuộc chiến; trận đánh,,fighting spirit; (will to) fight,
答申,とうしん,toushin,động từ,báo cáo; thông báo; tường trình; trình,,report; reply; findings,
糖質,とうしつ,toushitsu,danh từ,tâm thần phân liệt,,sugariness; saccharinity; carbohydrate,
当初,とうしょ,tousho,danh từ,bước đầu; khai cuộc; khởi đầu; ban đầu,,beginning; start; outset,
闘争,とうそう,tousou,động từ,chiến đấu; đánh nhau; đấu; trận đánh,,fight; battle; combat,
唐突,とうとつ,toutotsu,tính từ na,bạo bệnh; bất ngờ,,abrupt; sudden,
到頭,とうとう,toutou,trạng từ,rút cục; rốt cuộc; cuối cùng; hẳn,,finally; at last; in the end,
等々,とうとう,toutou,hậu tố,thửa; toà; hòn; vở,,etc.; et cetera; and so on,
当惑,とうわく,touwaku,động từ,lú lẫn,,bewilderment; perplexity; embarrassment,
投薬,とうやく,touyaku,động từ,chính quyền; liều; liều lượng; đô,,administration; medication; dosage,
投与,とうよ,touyo,động từ,chính quyền,,administration (of medicine); giving medication,
登用,とうよう,touyou,động từ,kèo; hẹn,,appointment; assignment; promotion,
盗用,とうよう,touyou,động từ,tham ô; đạo văn; kinh phí,,embezzlement; fraudulent use; plagiarism,
盗賊,とうぞく,touzoku,danh từ,đạo tặc; cường đạo; trộm; đạo chích,,thief; robber; burglar,
トワイライト,,towairaito,danh từ,chạng vạng; xế chiều; chập tối,,twilight,
閉ざす,とざす,tozasu,động từ,cụp; gấp; khoá; nhắm,,to shut; to close; to fasten,
ツアー,,tsua,danh từ,nhiệm kì; tua; lưu diễn,,tour,
燕,つばめ,tsubame,danh từ,én; nuốt,,swallow (bird of the Hirundinidae family); martin,
壺,つぼ,tsubo,danh từ,bình; nậm; cần sa; vỏ,,pot; jar; vase,
瞑る,つぶる,tsuburu,động từ,gấp; cụp; nhắm; gập,,to close (one's eyes); to shut,
培う,つちかう,tsuchikau,động từ,canh tác; chăm bón; gơ; vun trồng,,to cultivate; to foster,
都度,つど,tsudo,danh từ,hễ,,each (every) time; whenever,
集い,つどい,tsudoi,danh từ,buổi họp; hội nghị; hội họp,,meeting; get-together (e.g. among friends),
集う,つどう,tsudou,động từ,giao dịch; gặp; họp; gặp gỡ,,to meet; to assemble; to congregate,
継ぎ接ぎ,つぎはぎ,tsugihagi,động từ,đám,,patching (clothing); darning,
注ぎ込む,つぎこむ,tsugikomu,động từ,thọc; rê; tiêm; cấy ghép,,to invest in; to sink money into; to put into,
次々に,つぎつぎに,tsugitsugini,trạng từ,từng; tuần tự; liền,,one by one; one after another; successively,
償い,つぐない,tsugunai,danh từ,tưởng thưởng,,recompense; indemnity; atonement,
償う,つぐなう,tsugunau,động từ,bù đắp; tưởng thưởng; cứu chuộc; chuộc,,to make up for; to compensate for; to indemnify,
つい,,tsui,trạng từ,vừa mới; chỉ ... thôi; chẳng qua; mới,,just (now),
序で,ついで,tsuide,danh từ,dịp; thời cơ; thời; thể,,opportunity; occasion; chance,
次いで,ついで,tsuide,trạng từ,thứ đến; sau; tới,,next; secondly; subsequently,
序でに,ついでに,tsuideni,trạng từ,nhân tiện; trong khi; bao giờ; qua,,while (one is at it); when; on the occasion of,
追撃,ついげき,tsuigeki,động từ,bén gót; đuổi; dí; rượt,,pursuit (of a fleeing enemy); chase; follow-up attack,
追加料金,ついかりょうきん,tsuikaryoukin,danh từ,phụ phí,,additional fee; extra charge,
追求,ついきゅう,tsuikyuu,động từ,dò dẫm; bén gót; sạo sục; đuổi,,"pursuit (of a goal, ideal, etc.); search; chase",
就いて,ついて,tsuite,cụm từ,trạc; chừng; khoảng; cỡ,,about; concerning; as to,
ついて行く,ついていく,tsuiteiku,động từ,theo; kèm; kèm theo; hộ tống,,to accompany; to follow; to keep up with,
付いてくる,ついてくる,tsuitekuru,động từ,theo; nghe theo; noi; nối tiếp,,to follow; to come along with one; to accompany,
付いてる,ついてる,tsuiteru,động từ,gặp may; có thửa; theo; chứa,,to be lucky; to be in luck,
追悼,ついとう,tsuitou,động từ,tang tóc,,mourning,
辻,つじ,tsuji,danh từ,ngã tư; giao thời; ngã đường; giao,,crossroads; crossing; intersection,
塚,つか,tsuka,danh từ,gò; nổng; đụn; ụ,,mound; heap; hillock,
閊える,つかえる,tsukaeru,động từ,mắc; quyện; chọc tiết; gắn,,to stick; to get stuck; to get caught,
使い,つかい,tsukai,danh từ,cuốc; phái bộ; tôn chỉ; phái đoàn,,errand; mission; going on an errand,
使い方,つかいかた,tsukaikata,danh từ,công dụng; ích; dùng; lợi dụng,,way of using (something); way to use; how to use,
浸かる,つかる,tsukaru,động từ,chìm,,to be submerged; to be soaked,
付け,つけ,tsuke,danh từ,dự luật; mỏ; hoá đơn; credit,,bill; bill of sale; payment invoice,
つけ込む,つけこむ,tsukekomu,động từ,lợi dụng; nắm bắt; thừa; bóc lột,,to take advantage of; to impose on; to exploit,
付け根,つけね,tsukene,danh từ,cội; căn thức; căn tố; cội nguồn,,root; joint; base,
点ける,つける,tsukeru,động từ,mở; bật; đỏ đèn; chiếu ánh,,to turn on; to switch on; to light up,
付け足す,つけたす,tsuketasu,động từ,cộng; gia; nối; cho,,to add (to); to add on; to append,
突き,つき,tsuki,danh từ,đâm; thọc; đẩy; xô,,thrust; stab; lunge,
突き上げる,つきあげる,tsukiageru,động từ,hẩy; thẩy; tung; vụt,,to push up; to force up; to toss,
付き合う,つきあう,tsukiau,động từ,giao tiếp; phụ hoạ; thoả hiệp; khoan nhượng,,to associate with; to keep company with; to go out with,
月並み,つきなみ,tsukinami,danh từ,nhàm; tầm thường; chính quy; thường tình,,every month,
突き抜ける,つきぬける,tsukinukeru,động từ,bứt phá; phá vỡ; đột phá,,to pierce through; to break through,
突き刺す,つきさす,tsukisasu,động từ,đâm; găm; lụi; quyện,,to stab; to stick; to pierce,
付き添い,つきそい,tsukisoi,danh từ,gia đinh; chiêu đãi viên; áp tải; dẫn giải,,attendance (on); chaperonage,
作り上げる,つくりあげる,tsukuriageru,động từ,sáng chế; hoàn thiện; xây cất; tạo,,to build up; to complete; to construct,
作り話,つくりばなし,tsukuribanashi,danh từ,điển; huyền thoại; ngụ ngôn,,fiction; made-up story; fable,
作り出す,つくりだす,tsukuridasu,động từ,chế; bào chế; đặt ra; chế tạo,,to manufacture; to produce; to raise (crops),
熟,つくづく,tsukuzuku,trạng từ,sạch; sâu; ý vị; kịch liệt,,deeply; keenly; severely,
摘み,つまみ,tsumami,danh từ,núm; nắm đấm; cán; khuy,,knob; handle; button,
つまんない,,tsumannai,tính từ i,chán; buồn tẻ; chán ngắt; tẻ nhạt,,boring; dull; uninteresting,
詰らない,つまらない,tsumaranai,tính từ i,chán; buồn tẻ; chán ngắt; đần độn,,dull; uninteresting; boring,
詰まらせる,つまらせる,tsumaraseru,động từ,chịt; chèn; guốc; chặn,,to clog; to block; to choke up,
詰まり,つまり,tsumari,trạng từ,tức là; tức; tiểu đối; tóm lại,,that is to say; that is; in other words,
つま先,つまさき,tsumasaki,danh từ,ngón chân,,"toes; tips of the toes; toe of a shoe, sock, etc.",
爪楊枝,つまようじ,tsumayouji,danh từ,tăm; tăm xỉa răng,,toothpick,
躓く,つまずく,tsumazuku,động từ,vấp; vấp váp; té; chụp ếch,,to trip (over); to stumble,
爪切り,つめきり,tsumekiri,danh từ,bấm,,nail clippers,
詰め込む,つめこむ,tsumekomu,động từ,ních; nhét; nhồi; tọng,,to cram; to stuff; to jam,
積み重ね,つみかさね,tsumikasane,danh từ,đống; cọc; nọc,,pile; accumulation,
積み重ねる,つみかさねる,tsumikasaneru,động từ,chất đống; ùn; chồng chất; vun,,to pile up; to accumulate,
積み込む,つみこむ,tsumikomu,động từ,nạp; gánh,,"to load (with goods, cargo); to put on board; to stow aboard",
積立,つみたて,tsumitate,danh từ,tiết kiệm; vốn liếng,,saving; savings; accumulation,
積立金,つみたてきん,tsumitatekin,danh từ,dự trữ; trừ bị; dành; tích trữ,,reserve (fund); deposit,
積もり,つもり,tsumori,danh từ,bản chí; chủ ý; ý đồ; toan tính,,intention; plan; purpose,
紡ぐ,つむぐ,tsumugu,động từ,quay cuồng; lắp ghép; tích tụ; bâu,,to spin; to make yarn,
ツナ,,tsuna,danh từ,cá ngừ; cá ngừ đại dương,,tuna (esp. canned),
綱引き,つなひき,tsunahiki,danh từ,kéo co,,tug of war,
突っ張り,つっぱり,tsuppari,danh từ,bợ; đạo cụ; đỡ; hậu thuẫn,,prop; strut; support,
貫き通す,つらぬきとおす,tsuranukitoosu,động từ,xuyên qua; xuyên; kinh qua; trải qua,,to go through; to pierce; to penetrate,
連れ去る,つれさる,tsuresaru,động từ,bắt cóc; tước đoạt; rinh; phỗng,,to take (someone) away; to carry off; to abduct,
連れて行く,つれていく,tsureteiku,động từ,lấy; quắp; đưa; hóng,,to take (someone to a place); to take (someone) with one; to take along,
ツリー,,tsuri,danh từ,thụ; cây gỗ,,tree (esp. a Christmas tree),
釣り,つり,tsuri,danh từ,ngư nghiệp; tiền lẻ; thay; biến đổi,,fishing; angling,
釣り合い,つりあい,tsuriai,danh từ,cán cân; thăng bằng; cân bằng; cân,,balance; equilibrium,
釣り銭,つりせん,tsurisen,danh từ,tiền lẻ; thay; biến đổi; chuyển biến,,change (for a purchase),
ツール,,tsuru,danh từ,công cụ; đồ dùng; dụng cụ; bảo bối,,tool,
弦,つる,tsuru,danh từ,huyền; chuỗi; dây; lèo,,bowstring,
鶴,つる,tsuru,danh từ,cần cẩu; hạc; sếu,,"crane (any bird of the family Gruidae, esp. the red-crowned crane, Grus japonensis)",
吊るす,つるす,tsurusu,động từ,mắc; ngoắc; treo; lủng lẳng,,to hang; to hang up,
つるつる,,tsurutsuru,động từ,suôn sẻ; trơn tru; láng; mịn,,smooth; shiny; slick,
伝う,つたう,tsutau,động từ,men; diễu; theo; nghe theo,,to go along; to walk along; to follow,
つつ,,tsutsu,trợ từ,trong khi; cho dù; bất chấp; bất luận,,while,
堤,つつみ,tsutsumi,danh từ,khư; bờ bến; nhà băng; ngân hàng,,bank; embankment; dike,
包み込む,つつみこむ,tsutsumikomu,động từ,ấp ủ; cuốn chiếu,,to wrap up,
慎む,つつしむ,tsutsushimu,động từ,lưu ý; kiêng; cấm kị; huý kị,,to be careful; to be discreet,
通,つう,tsuu,danh từ,quyền hành; quyền hạn; quyền uy; chức quyền,,authority; expert; connoisseur,
通報,つうほう,tsuuhou,động từ,báo cáo; thông báo; tường trình; trình,,report; notification; tip,
通じ,つうじ,tsuuji,danh từ,phong trào; động tác; trào lưu; cử động,,(bowel) movement; evacuation; defecation,
通告,つうこく,tsuukoku,động từ,thông cáo; thông báo; tuyên bố; chú ý,,announcement; notice,
通例,つうれい,tsuurei,danh từ,thói tục; phép; tục lệ; phong tục,,custom; general rule; convention,
痛烈,つうれつ,tsuuretsu,tính từ na,gay gắt; trầm trọng; cay nghiệt; nghiêm khắc,,severe; bitter; scathing,
通算,つうさん,tsuusan,động từ,tổng cộng; tổng số; tổng hoà; tổng,,total; sum; aggregate,
通信社,つうしんしゃ,tsuushinsha,danh từ,hãng tin; thông tấn xã,,news agency,
通商,つうしょう,tsuushou,động từ,thương nghiệp; mậu dịch; thương mại; thương,,commerce; trade,
通称,つうしょう,tsuushou,động từ,biệt hiệu; bí danh; bút hiệu,,popular name; common name; nickname,
通達,つうたつ,tsuutatsu,động từ,hiệu lệnh; chỉ thị,,notification; official notice; directive (e.g. from higher to lower levels of the administration),
通俗的,つうぞくてき,tsuuzokuteki,tính từ na,đại chúng; thịnh hành; phổ biến; thông tục,,popular; common; commonplace,
通夜,つや,tsuya,danh từ,thức,,all-night vigil over a body; wake,
艶々,つやつや,tsuyatsuya,động từ,mượt; mượt mà; bóng loáng; láng,,glossy; bright; slick,
強み,つよみ,tsuyomi,danh từ,sở trường; ưu điểm; thế mạnh,,forte; strong point,
強さ,つよさ,tsuyosa,danh từ,sức; sức mạnh; mãnh lực; sức lực,,strength; power,
綴り,つづり,tsuzuri,danh từ,chính tả; hồ sơ; file; tập tin,,spelling; orthography,
綴る,つづる,tsuzuru,động từ,bùa; bùa chú; phù chú; ngải,,to spell,
って,,tte,trợ từ,"ông nói gà, bà nói vịt; cho dù; thảng hoặc; dù",,you said; he said; she said,
卯,う,u,danh từ,thỏ rừng,,the Rabbit (fourth sign of the Chinese zodiac); the Hare,
打ち上げ,うちあげ,uchiage,danh từ,dấn; nhen; phóng; mở,,"launch (of a rocket, satellite, etc.); lift-off; shooting off (fireworks)",
打ち上げる,うちあげる,uchiageru,động từ,dấn; nhen; phóng; mở,,to launch; to shoot up; to hit (a ball) high,
打ち合わせ,うちあわせ,uchiawase,động từ,hội đàm; tham dự; buổi họp; hội nghị,,(preparatory) meeting; briefing session; (making) advance arrangements,
打ち合わせる,うちあわせる,uchiawaseru,động từ,dàn xếp; dọn; bày trí; thu xếp,,to knock together; to strike against each other,
打ち出す,うちだす,uchidasu,động từ,in; ấn loát; ấn,,to emboss,
内側,うちがわ,uchigawa,danh từ,nội bộ; trong; nội thất,,inside; interior; inner part,
内気,うちき,uchiki,tính từ na,bẽn lẽn; trẽn; nhát; nhút nhát,,shy; bashful; timid,
打ち切り,うちきり,uchikiri,danh từ,kết thúc; cuối; cùng; chung cuộc,,end; close; finish,
打ち込み,うちこみ,uchikomi,danh từ,xâm lăng; xâm lược,,driving; pounding in; shooting into,
内々,うちうち,uchiuchi,tính từ,kín; mật; riêng; dân lập,,private; confidential; informal,
内輪,うちわ,uchiwa,danh từ,nội vụ,,"family circle; one's circle (of friends, co-workers, etc.); one's fellows",
有頂天,うちょうてん,uchouten,danh từ,thuốc lắc,,ecstasy,
宇宙飛行士,うちゅうひこうし,uchuuhikoushi,danh từ,phi hành gia,,astronaut,
宇宙空間,うちゅうくうかん,uchuukuukan,danh từ,khoảng; không gian; dung lượng; khoảng cách,,(outer) space,
ウッド,,uddo,danh từ,mộc; gỗ; ngũ sắc; săng,,wood,
腕時計,うでどけい,udedokei,danh từ,canh gác; gác; theo dõi; xem,,wristwatch; watch,
飢え,うえ,ue,danh từ,thèm muốn,,hunger; starvation,
ウエスタン,,uesutan,danh từ,tây phương; tây,,Western (film genre),
ウエスト,,uesuto,danh từ,eo,,waist; waistline; waist measurement,
ウエット,,uetto,tính từ na,nhuần; ướt; đẫm; ẩm ướt,,wet; moist,
右派,うは,uha,danh từ,hữu phái,,right wing,
ウインド,,uindo,danh từ,gió; làn; quấn,,wind,
ウイング,,uingu,danh từ,cánh; cánh gà,,"wing (of a bird, aircraft, etc.)",
ウインカー,,uinka,danh từ,xi nhan; chỉ số; chỉ thị,,(car) turn signal; blinker; indicator,
ウインク,,uinku,động từ,chớp mắt; đá lông nheo; nháy,,wink,
ウイルス,,uirusu,danh từ,siêu vi; siêu vi khuẩn; siêu vi trùng; vi-rút,,virus,
浮かび上がる,うかびあがる,ukabiagaru,động từ,ngoi; nhoi; trồi; nảy nở,,to rise to the surface,
浮かぶ,うかぶ,ukabu,động từ,giạt; lơ lửng; nổi nênh; nổi,,to float; to be suspended,
浮かれる,うかれる,ukareru,động từ,vui chơi,,to make merry; to be festive,
受け,うけ,uke,danh từ,ân huệ; ơn; ân sủng; ân,,popularity; favour; favor,
受け持ち,うけもち,ukemochi,danh từ,phí tổn; cước phí; lệ phí; cước,,charge (of something); matter in one's charge; (one's) assignment,
請負,うけおい,ukeoi,danh từ,khế ước; công ta; hợp đồng; giao kèo,,contract (for work); contracting; undertaking,
請け負う,うけおう,ukeou,động từ,đính ước; mắc phải; mắc; cáng đáng,,to contract; to undertake,
受け取り,うけとり,uketori,danh từ,biên lai; chứng từ; phiếu; biên nhận,,receiving; receipt,
受取人,うけとりにん,uketorinin,danh từ,em,,recipient (e.g. of mail); addressee; payee,
受け渡し,うけわたし,ukewatashi,danh từ,chuyển giao; di chuyển; thuyên chuyển; trung chuyển,,delivery; transfer; hand-over,
受け皿,うけざら,ukezara,danh từ,đĩa; dĩa,,saucer,
浮き,うき,uki,danh từ,lửng lơ,,floating; buoyancy,
雨季,うき,uki,danh từ,mùa mưa,,rainy season,
浮き彫り,うきぼり,ukibori,danh từ,phù điêu; địa hình; cứu tế,,relief; embossed carving,
憂き目,うきめ,ukime,danh từ,khốn kiếp; mạt kiếp; gian khổ; ách nạn,,bitter experience; misery; distress,
浮き浮き,うきうき,ukiuki,động từ,khoái chí,,cheerfully; buoyantly; happily,
烏克蘭,ウクライナ,ukuraina,danh từ,u cà,,Ukraine,
午,うま,uma,danh từ,ngựa; mã,,the Horse (seventh sign of the Chinese zodiac),
上手い,うまい,umai,tính từ i,xảo diệu; thành thạo; ngon lành; ngon,,skillful; skilful; skilled,
上手く行く,うまくいく,umakuiku,động từ,trôi,,to go smoothly; to turn out well; to do the trick,
生み,うみ,umi,danh từ,đẻ,,birth; giving birth,
海辺,うみべ,umibe,danh từ,bãi biển; luỵ; bờ bến,,beach; seashore; seaside,
生み出す,うみだす,umidasu,động từ,tạo nên; sản; sáng chế; bào chế,,to create; to bring forth; to produce,
生みの親,うみのおや,uminooya,cụm từ,tổ sư; cha đẻ; tổ; con tạo,,biological parent,
埋もれる,うもれる,umoreru,động từ,khuất; chìm,,to be buried; to be covered; to be hidden,
羽毛,うもう,umou,danh từ,vũ; lông vũ; nhổ; cạn,,feather; plume; plumage,
生む,うむ,umu,động từ,sinh; hạ sinh; sanh; sinh ra,,to give birth; to bear (child); to lay (eggs),
鰻,うなぎ,unagi,danh từ,cá chình,,"eel (esp. the Japanese eel, Anguilla japonica)",
唸る,うなる,unaru,động từ,rên; rên rỉ; rên xiết; siết,,to groan; to moan,
頷く,うなずく,unazuku,động từ,gật; gật đầu; đồng thuận; đồng tình,,to nod; to bow one's head in assent; to agree,
ウンチ,,unchi,động từ,đi đồng; ị; bĩnh,,poo; poop; doo-doo,
運動場,うんどうじょう,undoujou,danh từ,sân chơi,,sports ground; playing field; playground,
運動会,うんどうかい,undoukai,danh từ,hội thao,,athletic meet (esp. at a school); sports day; field day,
畝,うね,une,danh từ,nóc; liếp; xương sườn; sườn,,ridge (in field); row of raised earth when planting crops,
畝り,うねり,uneri,danh từ,khúc khuỷu; quanh co; ngoắt ngoéo; quanh,,undulation; winding; meandering,
畝る,うねる,uneru,động từ,quấn; gió; làn; vặn,,"to wind (of a road, river, etc.); to meander; to twist",
うんこ,,unko,động từ,đi đồng; ị; bĩnh; phân,,poop; poo; faeces,
運航,うんこう,unkou,động từ,phép toán; tác vụ; công ơn; chuyến bay,,operation (of a ship or aircraft route); service; navigation,
運行,うんこう,unkou,động từ,phép toán; tác vụ; công ơn; phong trào,,operation (of a bus or train service); service; running,
運転免許,うんてんめんきょ,untenmenkyo,danh từ,bằng lái,,driver's license; driver's licence; driving licence,
運転士,うんてんし,untenshi,danh từ,tài xế; lái xe; bạn; giao phối,,"(professional) driver (of a taxi, train, etc.); motorman",
自惚れる,うぬぼれる,unuboreru,động từ,hợm,,to be conceited,
ウォン,,uon,danh từ,uôn,,won (Korean currency),
浦,うら,ura,danh từ,bãi biển; luỵ,,inlet,
裏通り,うらどおり,uradoori,danh từ,ngách; ngõ,,side street (often parallel to a main street); back street; alley,
裏金,うらがね,uragane,danh từ,tiền cà phê; lễ; hối lộ; mua chuộc,,bribe,
裏側,うらがわ,uragawa,danh từ,mặt trái; đảo ngược; quành; đảo lộn,,the reverse (side); back (side); other side,
裏切り者,うらぎりもの,uragirimono,danh từ,trở cờ; chỉ điểm,,betrayer; traitor; turncoat,
裏腹,うらはら,urahara,tính từ na,trái ngược; đối nghịch; tương phản; ngược,,opposite; reverse; contrary,
裏目,うらめ,urame,danh từ,trái ngược; đối nghịch; tương phản; kia,,reverse side,
裏面,うらめん,uramen,danh từ,lưng; mu; gáy; mặt trái,,back (side); reverse,
裏道,うらみち,uramichi,danh từ,ngách,,back lane; byway; back street,
ウラン,,uran,danh từ,urani,,uranium (U),
占い,うらない,uranai,danh từ,bói toán; thầy bói,,fortune-telling; divination,
占い師,うらないし,uranaishi,danh từ,thầy bói,,diviner; fortune teller; soothsayer,
裏表,うらおもて,uraomote,danh từ,thấu đáo; trái,,back and front; inside and outside; both sides,
裏付け,うらづけ,urazuke,danh từ,hậu thuẫn; bằng cớ; chứng tích; bằng chứng,,support (e.g. for an argument); backing; proof,
裏づける,うらづける,urazukeru,động từ,cấp dưỡng; nuôi sống; ủng hộ; bợ,,"to support (a theory, claim, etc.); to back up; to substantiate",
憂える,うれえる,ureeru,động từ,nề hà; tủi; khóc than; rên xiết,,to worry about; to be anxious about; to be concerned about,
憂い,うれい,urei,danh từ,ưu phiền; thất tình; ưu sầu; ách nạn,,sorrow; grief; anguish,
嬉しい,うれしい,ureshii,tính từ i,sung sướng; mừng; vui sướng; hân hạnh,,happy; glad; pleased,
売れ行き,うれゆき,ureyuki,danh từ,doanh số; nhu cầu; yêu cầu; đòi hỏi,,sales; demand,
売り上げ,うりあげ,uriage,danh từ,doanh số; tiến hành; đậm đà; quay,,amount sold; sales; proceeds,
売上高,うりあげだか,uriagedaka,danh từ,doanh số; tiến hành; quay,,sales; amount sold; proceeds,
売上金,うりあげきん,uriagekin,danh từ,tiến hành; quay; đậm đà,,proceeds (from a sale); takings,
売り込む,うりこむ,urikomu,động từ,cất nhắc; tiêu thụ; thúc đẩy; bán chác,,to build a market for; to promote (a product); to sell,
売り物,うりもの,urimono,danh từ,lễ vật; lễ; chuyên khoa; chuyên ngành,,article for sale; goods for sale; offering,
売り手,うりて,urite,danh từ,sốp,,seller; vendor,
鱗,うろこ,uroko,danh từ,quy mô; cấp độ; cân,,"scale (of fish, snake, etc.)",
彷徨く,うろつく,urotsuku,động từ,chùng chình; la cà; lê la; luẩn quẩn,,to loiter; to hang around; to wander around,
潤い,うるおい,uruoi,danh từ,ẩm thấp; ẩm; ướt át; hơi ấm,,moisture; damp; wetness,
潤す,うるおす,uruosu,động từ,nhuần; nhấp; vã; ướt,,to moisten; to wet,
煩い,うるさい,urusai,tính từ i,ầm ĩ; cà tum; ồn; nhao,,noisy; loud,
漆,うるし,urushi,danh từ,hoàng bào,,East Asian lacquer; japan,
閏年,うるうどし,uruudoshi,danh từ,năm nhuận,,leap year,
雨量,うりょう,uryou,danh từ,vũ lượng,,(amount of) rainfall,
丑,うし,ushi,danh từ,lục súc,,the Ox (second sign of the Chinese zodiac),
後ろ盾,うしろだて,ushirodate,danh từ,ô; hậu thuẫn; vây cánh; khách,,backing; support; backer,
後ろ向き,うしろむき,ushiromuki,tính từ na,lạc hậu; tụt hậu; hắc ám; bò vàng,,back-facing; backwards,
嘘,うそ,uso,danh từ,dóc; khai man; nói dối; nói láo,,lie; fib; falsehood,
薄らぐ,うすらぐ,usuragu,động từ,phai mờ; nhoà; phai; phôi pha,,to become thin; to fade; to grow pale,
薄れる,うすれる,usureru,động từ,phai mờ; nhoà; phai; phôi pha,,to fade; to become dim,
疑い,うたがい,utagai,danh từ,nghi hoặc; hoài nghi; nghi vấn; câu hỏi,,doubt; question; uncertainty,
疑わしい,うたがわしい,utagawashii,tính từ i,nghi vấn; nghi hoặc; ngờ vực; vất vưởng,,doubtful; questionable; uncertain,
宴,うたげ,utage,danh từ,tiệc tùng; tiệc; chầu; đoàn,,party; banquet; feast,
歌声,うたごえ,utagoe,danh từ,giọng ca,,singing voice; (sound of) singing,
謳う,うたう,utau,động từ,tâng; ca ngợi; ca tụng; tán dương,,to extol; to sing the praises of; to celebrate,
鬱,うつ,utsu,danh từ,ưu sầu; xum xuê; xanh tươi,,depression; low spirits,
うつ病,うつびょう,utsubyou,danh từ,ưu sầu,,depression,
移り変わり,うつりかわり,utsurikawari,danh từ,tiền lẻ; thay; biến đổi; chuyển biến,,change (e.g. season),
映し出す,うつしだす,utsushidasu,động từ,suy bụng ta ra bụng người; trình chiếu; chiếu; chường,,"to project; to show (on a screen); to reflect (of a mirror, lake, etc.)",
移す,うつす,utsusu,động từ,chuyển giao; di chuyển; thuyên chuyển; trung chuyển,,"to transfer (to a different place, group, etc.); to change; to swap",
鬱陶しい,うっとうしい,uttoushii,tính từ i,rầu; âm u; chập choạng; ảm đạm,,gloomy (e.g. mood); depressing,
ううん,,uun,thán từ,ừm; ờ; giếng; ngon,,um; er; well,
